2025-03-15 21:55:18 | INFO     | src.api.main:upload_sample:292 - サンプルデータをアップロードしました: 1d0d9b62-2de8-49d9-94c8-e7028d9488d7, ファイル: test_data.csv
2025-03-15 21:55:20 | INFO     | src.api.main:start_workflow:354 - 新しいワークフローを開始しました: wf_d96c_88d7_20250315215520
2025-03-15 21:55:32 | INFO     | src.utils.db_manager:close_db_connections:121 - データベース接続を閉じました
2025-03-15 21:55:37 | INFO     | src.core.config:setup_logging:173 - ログレベル INFO でロギングを初期化しました
2025-03-15 21:55:37 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
2025-03-15 21:55:37 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 21:55:37 | INFO     | src.migrations.manager:run_migrations:84 - データベースマイグレーションを開始します...
2025-03-15 21:55:37 | INFO     | src.migrations.manager:run_migrations:132 - すべてのマイグレーションが完了しました
2025-03-15 21:55:37 | INFO     | src.utils.db_manager:init_db:72 - データベーススキーマが初期化されました
2025-03-15 21:55:37 | INFO     | src.api.main:<module>:84 - 静的ファイルディレクトリをマウントしました: C:\Users\nyham\work\sampletest\static, C:\Users\nyham\work\sampletest\data\reports
2025-03-15 21:55:37 | INFO     | src.core.config:setup_directories:145 - アプリケーションディレクトリを作成しました
2025-03-15 21:55:37 | INFO     | src.core.config:setup_logging:173 - ログレベル INFO でロギングを初期化しました
2025-03-15 21:55:37 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
2025-03-15 21:55:37 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 22:12:35 | INFO     | src.utils.db_manager:close_db_connections:121 - データベース接続を閉じました
2025-03-15 22:12:40 | INFO     | src.core.config:setup_logging:173 - ログレベル INFO でロギングを初期化しました
2025-03-15 22:12:40 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
